path_signal,path_target
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0022.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0022.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0023.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0023.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0024.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0024.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0025.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0025.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0026.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0026.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0027.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0027.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0028.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0028.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0029.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0029.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0030.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0030.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0031.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0031.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0032.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0032.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0033.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0033.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0034.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0034.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0035.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0035.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0036.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0036.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0037.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0037.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0038.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0038.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0039.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0039.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0040.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0040.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0041.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0041.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0042.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0042.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0043.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0043.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0044.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0044.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0045.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0045.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0046.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0046.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0047.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0047.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0048.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0048.tif
/allen/aics/modeling/data/IF_to_EM_testdata/EM_med/0049.tif,/allen/aics/modeling/data/IF_to_EM_testdata/MBP_med/0049.tif
